Model,threshold,fpr,tpr
Ovary-centric,0.7465286369247722,0.045871559633027525,0.6037735849056604
Ovary-centric,0.7360842818007874,0.045871559633027525,0.6226415094339622
Ovary-centric,0.7310147639742479,0.05504587155963303,0.6226415094339622
Ovary-centric,0.716215513160316,0.06422018348623854,0.6226415094339622
Ovary-centric,0.7029776218570393,0.06422018348623854,0.6415094339622641
Ovary-centric,0.702372268348708,0.06422018348623854,0.660377358490566
Ovary-centric,0.6525033811696583,0.06422018348623854,0.6792452830188679
Ovary-centric,0.6179562279829595,0.06422018348623854,0.6981132075471698
Ovary-centric,0.5962599982467492,0.07339449541284404,0.6981132075471698
Ovary-centric,0.5848175737402312,0.07339449541284404,0.7169811320754716
Ovary-centric,0.564843681233928,0.08256880733944955,0.7169811320754716
Ovary-centric,0.5621396899113005,0.08256880733944955,0.7358490566037735
Ovary-centric,0.5590225297892057,0.09174311926605505,0.7358490566037735
Ovary-centric,0.5483684604507552,0.09174311926605505,0.7547169811320755
Ovary-centric,0.5306397845533549,0.10091743119266056,0.7547169811320755
Ovary-centric,0.5134888586986577,0.10091743119266056,0.7735849056603774
Ovary-centric,0.5059545504643774,0.10091743119266056,0.7924528301886793
Ovary-centric,0.47112451726146704,0.11009174311926606,0.7924528301886793
Ovary-centric,0.46604834593087885,0.11009174311926606,0.8113207547169812
Ovary-centric,0.45357180834914723,0.11926605504587157,0.8113207547169812
Ovary-centric,0.45112582286395,0.12844036697247707,0.8113207547169812
Ovary-centric,0.4436102245322812,0.12844036697247707,0.8301886792452831
Ovary-centric,0.4264177319307491,0.13761467889908258,0.8301886792452831
Ovary-centric,0.3765604384779652,0.14678899082568808,0.8301886792452831
Ovary-centric,0.36390586383053897,0.14678899082568808,0.8490566037735849
Ovary-centric,0.35405941068270314,0.1559633027522936,0.8490566037735849
Ovary-centric,0.33786594607568216,0.1559633027522936,0.8679245283018868
Ovary-centric,0.3268605259990249,0.1651376146788991,0.8679245283018868
Ovary-centric,0.3254543255207435,0.1743119266055046,0.8679245283018868
Ovary-centric,0.31555696991955806,0.1834862385321101,0.8679245283018868
Ovary-centric,0.3067498383624673,0.1926605504587156,0.8679245283018868
Ovary-centric,0.3041868274357552,0.2018348623853211,0.8679245283018868
Ovary-centric,0.28054453217056713,0.22018348623853212,0.8679245283018868
Ovary-centric,0.27806551759414977,0.22935779816513763,0.8679245283018868
Ovary-centric,0.24044473403396738,0.22935779816513763,0.8867924528301887
Ovary-centric,0.23077792712360623,0.23853211009174313,0.8867924528301887
Ovary-centric,0.2250826617150098,0.24770642201834864,0.8867924528301887
Ovary-centric,0.22453743541836316,0.25688073394495414,0.8867924528301887
Ovary-centric,0.22235217057352766,0.25688073394495414,0.9056603773584906
Ovary-centric,0.22041454910338007,0.26605504587155965,0.9056603773584906
Ovary-centric,0.2055829271870878,0.27522935779816515,0.9056603773584906
Ovary-centric,0.1979045663587293,0.28440366972477066,0.9056603773584906
Ovary-centric,0.1956333631226498,0.30275229357798167,0.9056603773584906
Ovary-centric,0.18993715246186657,0.30275229357798167,0.9245283018867925
Ovary-centric,0.18442595244551604,0.3119266055045872,0.9245283018867925
Ovary-centric,0.1843693252418954,0.3211009174311927,0.9245283018867925
Ovary-centric,0.1756233543524996,0.3302752293577982,0.9245283018867925
Ovary-centric,0.1738894497224193,0.3394495412844037,0.9245283018867925
Ovary-centric,0.16862155793178865,0.3486238532110092,0.9245283018867925
Ovary-centric,0.1636306610453073,0.3577981651376147,0.9245283018867925
Ovary-centric,0.15728281971010713,0.3669724770642202,0.9245283018867925
Ovary-centric,0.15640804584972948,0.3761467889908257,0.9245283018867925
Ovary-centric,0.15369981106803196,0.3853211009174312,0.9245283018867925
Ovary-centric,0.1518120348075404,0.3944954128440367,0.9245283018867925
Ovary-centric,0.14816366425171565,0.4036697247706422,0.9245283018867925
Ovary-centric,0.14353157679075496,0.41284403669724773,0.9245283018867925
Ovary-centric,0.14191577668573693,0.42201834862385323,0.9245283018867925
